Title,Subscribers,Reviews,RevPercent,Length
Wordpress on AWS: The Easy way to AWS for Free Fast hosting ,40,23,0.09,1.0
Mastering TypeScript,95,34,0.1,3.0
Mastering AngularJS UI Development,95,26,0.06,1.5
Custom Theme Creation for WordPress using HTML5 and CSS3,35,20,0.07,1.5
Create a PHP Contact Form in Bootstrap,20,65,0.03,1.0
Introduction To Data Analytics Using Microsoft Power BI,45,33,0.02,1.5
HTML Made Simple For Beginners: Create a One Page Website,65,50,0.01,2.0
The Complete Web Developer Masterclass: Beginner To Advanced,20,11,0.01,2.5
Website Builder Software Previews,25,12,0.01,1.0
Learn How to Create Your Own Social Network,50,5,0.0,2.0
"Learn By Example: The Foundations of HTML, CSS & Javascript",50,72,0.04,13.0
JavaScript manipulation of the DOM Document Object Model,20,46,0.03,1.5
Create Jekyll blog and host it on Github like a Ninja,20,74,0.01,2.0
Learn React JS from scratch,115,42,0.03,4.0
Web Security: Common Vulnerabilities And Their Mitigation,50,30,0.02,8.0
PHP for Beginners,40,95,0.04,6.0
Make a professional website - 30 Day Guarantee. Discounted!,20,34,0.0,2.0
Symfony 3: Build a PHP Application with Symfony,20,11,0.02,2.0
Learn ASP.Net Web API 2 for Absolute Beginner,30,14,0.01,3.5
Build a Website in 30 Minutes,95,40,0.01,32.0
Google Blogger : How to Create a Blog,20,17,0.01,2.0
How to Make a Website Without Coding- WordPress & Web Skills,30,107,0.02,9.0
Learn WCF And Web APIs From Scratch,50,358,0.07,10.5
How To Build A Website From Scratch + Blogging Blueprint,20,37,0.01,3.5
Learn To Create Different Website Layouts & Media Queries ,195,45,0.01,2.0
Build Sign Up and Login Forms With Bootstrap Modal,20,19,0.01,4.0
"Build a Real Time web app in node.js , Angular.js, mongoDB",20,166,0.05,4.0
Superb jQuery Course - Become Certified jQuery Developer,95,6,0.01,1.5
How To Build A Facebook Messenger Chat Bot From Scratch,120,20,0.01,1.5
"Build Your Own Calculator App with Javascript, HTML5 & CSS",50,49,0.01,1.0
The Complete WordPress Development & Customization Course,100,165,0.1,12.5
HTML CSS Easy steps to create a web template from scratch,200,78,0.01,1.0
Learn jQuery AJAX in 1 hour,195,62,0.02,1.0
Develop Competitive Plugins for WordPress and WooCommerce,150,18,0.01,1.0
Get Results - Core Principles of Web Development Tricks Tips,75,54,0.0,1.5
JSON Faster Sleeker & Easier Discover the benefits learn it,200,69,0.01,1.5
Get to know HTML Learn HTML Basics,200,102,0.01,2.0
Ultimate Css & JQuery Form Designing From Beginner to Expert,115,5,0.01,1.0
PHP: Complete Registration and Login with Email Verification,20,145,0.01,2.5
JavaScript from Beginner to Expert,125,439,0.08,12.5
Build a website HTML5 CSS3 Beginner Course,150,44,0.01,2.0
Learn Ruby on Rails: Stripe Payment Processing,40,33,0.0,1.5
WordPress For Beginners | No Coding Required,20,31,0.01,1.0
jQuery For Beginners : A Basic Introduction,65,165,0.03,1.0
WordPress Plugins and Widgets,40,29,0.0,1.0
PHP Essential How to create build Amazing websites with PHP,75,30,0.0,3.5
HTML CSS JavaScript: Most popular ways to code HTML CSS JS,170,172,0.02,3.5
Bootstrap 3 Beginners: Create a Professional Landing Page,20,278,0.08,2.5
Introduction to Node.js for Beginners,125,17,0.01,6.0
Introduction to Coding with Ruby,45,126,0.02,3.5
Complete PHP and MySql Course: From Beginner to Professional,200,137,0.02,6.5
Angular JS Essentials,195,99,0.02,4.0
How To Setup Web Hosting,Free,242,0.02,1.0
"Web Application Development using Redis, Express, and Socket",200,16,0.05,6.0
How to Start a WordPress Blog - Complete Beginners Guide!,Free,85,0.02,2.0
CSS3 Gradients for Web Designers,20,9,0.01,1.5
Learn ASP NET MVC 5 step by step,20,91,0.06,3.0
Tumult Hype Pro Basics: HTML5 Animations Made Easier,50,32,0.04,4.0
Web Hosting Set Up and WordPress Installation For Beginners,Free,239,0.02,34.0
Ruby on Rails 4---A Test-Driven Approach,100,55,0.04,19.0
AJAX :basics for beginners,35,23,0.02,34.0
Let's JavaScript!  Code a calculator,35,10,0.03,2.0
JavaScript from Beginner to Advanced,195,18,0.05,17.0
WordPress Theme Academy with Bootstrap,20,110,0.09,7.5
Building a eCommerce Startup in 4 Hours [Livestream],50,8,0.01,3.0
Responsive PHP Registration Form: From Scratch,95,9,0.0,4.0
A-Frame WebVR Programming Tutorial Series (Virtual Reality),40,16,0.0,1.5
Learn Bootstrap And Make Responsive Websites,25,10,0.01,3.5
HTML Web Development Crash Course,20,33,0.01,1.5
Bootstrap Basics: Program Responsive Websites,75,393,0.08,3.0
Projects with JSON and APIs,20,34,0.02,2.0
Web Design HTML CSS How to Create a Website from Scratch,50,28,0.01,2.0
"Create Complete Sign up System using PHP, jQuery and Ajax",200,40,0.01,3.0
Adobe Flash for Beginners - Build Flash Website From Scratch,200,17,0.0,1.5
Learn Complete WordPress for Building a Professional Sites,80,92,0.01,9.0
Devtools 2017: Beginner to Expert w/ Chrome Developer Tools,125,54,0.13,2.5
Bootstrap Essential Training - Create Your Very Own Website,20,34,0.01,9.0
Angular 2 Jump Start With Typescript,20,90,0.05,4.0
Learn Plugin Development in WordPress By Building  Projects,60,121,0.09,11.0
"Build Your Startup with No Coding (Design, Develop & Ship)",30,245,0.32,8.0
The Web Developers Guide: Learn HTML & CSS Fundamentals,20,27,0.01,7.0
Learn PHP Programming for Absolute Beginners - Lite,20,62,0.02,41.0
Learn Drupal 8 - With a Live Project,55,15,0.01,3.5
Supreme NodeJS Course - For Beginners,200,37,0.03,3.5
CSS3 for beginners,195,15,0.0,1.5
Javascript for beginners,75,57,0.03,1.5
Become a Bootstrap Expert: Build 20 Layouts!,35,57,0.02,17.5
PHP : Learn to upload files to Amazon S3 and use CloudFront,50,36,0.03,3.0
PHP MySQL: Learn PHP MySQL with Project,20,77,0.03,2.0
How to Set Up a Self-Hosted Wordpress Website in 30 Minutes,Free,261,0.03,32.0
Projects in Django and Python,60,53,0.03,6.5
"Create, Update and Manage Your Own Website Using Drupal 7",120,68,0.02,7.0
Learn HTML - The programming language to build a webpage!,25,39,0.02,1.0
Learn To Program JavaScript (in ten easy steps),75,96,0.04,5.5
Bootstrap :basics for beginners,40,20,0.02,1.0
Introduction to CSS Development,Free,415,0.03,2.0
PHP :basics for beginners,45,4,0.0,1.5
Beginning Oracle WebLogic for Administrators,Free,989,0.1,42.0
Build an HTML5 and CSS3 Website in 35 Minutes,20,25,0.01,42.0
Angular 2 Routing: Up And Running,Free,84,0.03,37.0
Advanced Prezi: Make Amazing Presentations ,30,25,0.01,1.0
1 hour jQuery,100,133,0.02,1.0
The WpFASTER WordPress Speed Optimization Master Course,175,215,0.1,7.0
How to Build Your Own Website with WordPress: A Step-by-Step Guide ,95,15,0.0,6.0
Build Apps with ReactJS: The Complete Course,40,145,0.1,5.5
Learn SASS: from beginner to expert,20,9,0.01,1.0
The complete HTML5 course,20,11,0.0,1.5
Create a Responsive Website with Bootstrap 3,50,39,0.01,3.0
Lerning PHP by building website,185,63,0.11,8.0
Learn PHP Object Oriented Features with Simple Examples,20,28,0.02,1.0
Crash Course - Learn to Create a PHP MVC Framework,50,117,0.09,1.0
JSON :basics for beginners,45,18,0.01,33.0
CSSCasts; CSS libraries Plugins Tips & Tricks for Developers,200,40,0.02,44.5
Complete Guide to Front-End Web Development and Design,200,111,0.1,16.5
"Build Ajax Web Apps with Laravel 5.2, Bootstrap and jQuery",100,131,0.13,5.0
Javascript for Beginners,20,195,0.05,3.0
MongooseJS Essentials - Learn MongoDB for Node.js,Free,1106,0.05,44.0
Regular Expressions for Beginners - Universal,100,141,0.07,3.0
Learn Redis from Scratch,40,84,0.15,3.0
WordPress Plugin Development -> Deep dive discovery!,40,19,0.01,2.0
Learn Ajax and jquery with PHP,20,8,0.0,1.5
Create a business website with WordPress,50,31,0.02,4.0
DesktopServer : Install WordPress Locally  - Work Anywhere!,65,22,0.01,2.0
Understand PHP Arrays and HTTP Request in a Better Way,35,38,0.02,35.0
Mastering CSS,95,249,0.14,5.0
The Complete Wordpress Theme Development Guide,25,2,0.0,2.0
The Complete HMTL5 Course - Go From Beginner To Advanced!,95,15,0.01,2.0
Learn Jquery from Scratch 2-Hour Training ,20,56,0.01,1.5
How to Create a Wordpress Website from Scratch - No Coding,20,28,0.0,3.0
Learn PHP CodeIgniter Framework with AJAX and Bootstrap,75,52,0.03,2.5
The Complete Guide to JavaScript Development,110,36,0.01,14.0
Basic HTML CSS and Web Design,30,92,0.02,9.0
Build Professional WordPress Website,145,95,0.02,3.5
Ultimate CSS3 Course - From Beginners To Professional,95,25,0.01,2.0
Code & Grow Rich:  Earn More As An Entrepreneur Or Developer,200,52,0.01,57.0
Learn by Example : ReactJS,50,37,0.02,7.5
React.js Quickly: Developing Scalable Web User Interfaces,50,76,0.02,4.0
JavaScript - Tricks and Workarounds,100,134,0.1,5.0
Kids Coding - Beginner HTML,20,53,0.01,1.0
Learn PHP from scratch!!,25,12,0.01,1.5
PHP with PDO - ULTIMATE Crash Course,50,171,0.14,1.5
JavaScript for beginners with live examples,195,46,0.01,4.0
Bootstrap 3 Introduction : Create RESPONSIVE Websites Fast,50,302,0.13,2.5
Laravel(5.2) PHP Framework  Jump Start for beginners,20,95,0.02,3.0
Professional WordPress Theme Development For 2017,20,102,0.03,8.0
Learn Laravel PHP Framework Building Multi User SEO Blog APP,100,92,0.17,9.5
Javascript Specialist,200,39,0.1,8.0
Write PHP Like a Pro: Build a PHP MVC Framework From Scratch,70,435,0.26,3.0
JavaScript Intro to learning JavaScript web programming,20,94,0.01,1.5
Crash Course: Fundamentals Of HTML & CSS From Scratch.,20,216,0.03,2.0
"Laravel, the complete guide with real world projects",200,119,0.18,14.0
VueJS V1 Introduction to VueJS JavaScript Framework,200,28,0.01,2.0
HTML CSS: Essential steps to learn HTML CSS,145,154,0.01,2.5
Learn HTML 5 in 1 hour,100,169,0.01,1.0
Learn Html5 & CSS3 from scratch,20,239,0.02,2.5
Responsive Web Design: Made Easy,195,106,0.02,6.5
Parse Server: From Front End to Full Stack,200,162,0.14,6.0
Codeigniter: How to use Codeigniter that drives knowledge,150,235,0.02,3.0
jQuery for Beginners - Create Website Animations Easily,100,285,0.1,3.0
How to Build Chat Bots: From Beginner to Intermediate,140,107,0.04,2.0
Web Development with BootStrap - 16 Instant Themes Included!,40,45,0.03,3.5
Install a Wordpress Theme the Correct Way & Charge Others,20,13,0.01,1.0
Coding for Entrepreneurs Basic,Free,279,0.0,3.5
The CSS and CSS3 Crash Course,150,99,0.05,13.0
Build a Business or Personal Website Using Wordpress,200,12,0.01,4.5
Learn By Example: PHP For Dynamic Websites,50,10,0.01,13.0
Learn ReactJS: Code Like A Facebook Developer,20,72,0.04,5.0
Learn to Build Web Apps using D3JS,40,99,0.12,3.5
How to create awesome website and e-commerce in 1 hour,20,4,0.0,1.0
Joomla for Beginners - Learn how to build a website with CMS,95,7,0.01,3.5
Learning Drupal 8,50,97,0.17,9.5
Learn How To Build a Web Application Without Coding,Free,311,0.03,32.0
Rock Solid Wordpress Security - Secure Web Development,Free,92,0.02,1.5
Mastering JavaScript,95,39,0.06,4.0
PHP Laravel 5:Creating a CRUD application,45,12,0.02,33.0
XQUERY :basics for beginners,40,2,0.0,38.0
PHP Development with the Laravel Framework,50,24,0.01,3.5
WordPress Development - Themes and Plugins Complete Guide,200,11,0.11,5.5
Basic JavaScript: Build 4 Basic JavaScript Projects,40,33,0.05,4.5
HTML and CSS for Beginning Web Developers,100,28,0.02,9.0
Popular JavaScript Framework:Learn The Language Of Angular 2,200,22,0.08,11.0
The Ultimate Guide to the Best WordPress Plugins Part 1,50,10,0.08,10.5
XSLT :basics for beginners,35,6,0.01,32.0
The Complete Wordpress Plugin Development Course - 8 Plugins,200,58,0.05,2.5
JSON Crash Course for Beginners,45,90,0.03,38.0
You can create Incredible Websites with HTML CSS learn how,100,50,0.0,2.5
JavaScript Tricks how to create code projects from scratch,75,31,0.0,1.5
The Sass Course! Learn Sass for Real-World Websites,95,141,0.14,3.5
Web Design How to Create a Website HTML CSS Bootstrap,75,29,0.01,2.0
Master Angular 4 by Example - Build 7 Awesome Apps!,195,32,0.05,8.0
Create A Custom Responsive WordPress Website For A Client,95,89,0.01,4.5
Mastering HTML5 Programming - The Easier Way,75,138,0.01,7.0
How to Launch Your Own Website Builder Service,20,87,0.01,1.5
Getting Started with HTML,40,52,0.01,1.5
Spring Framework 4 (Java Enterprise JEE) with AngularJS,95,318,0.06,13.5
Build A Weather App With Ajax Using Open Weather Map API,20,44,0.01,4.0
Essentials of JavaScript Practice Coding Exercises Tips,80,115,0.0,2.0
Learn and Earn with HTML & CSS,20,206,0.02,4.0
Get started Creating Websites Everything you need provided,100,44,0.0,3.0
JavaScript in Action JavaScript Projects,150,58,0.01,1.5
Modern Web Development with Laravel 5.2 (PHP Framework),120,536,0.25,12.0
Programming for Entrepreneurs - JavaScript,200,106,0.01,2.5
Create a Website from Scratch using HTML CSS step by step,75,95,0.01,1.5
Complete AJAX Course: Learn AJAX Techniques Using Bootstrap,195,89,0.01,3.5
Learn jQuery by Example Course,170,94,0.01,5.0
Bootstrap 4 Theme Development Masterclass,150,28,0.01,39.0
Wordpress Theme Development for Beginners,20,14,0.01,8.0
Web Design Creating websites from scratch,75,64,0.0,2.0
HTML Learning the Basics Intro to HTML website coding,20,65,0.01,39.0
Learn how to use Javascript Components with PHP and Symfony,90,4,0.0,2.0
So you think you know JavaScript?,50,154,0.15,6.0
Learn Node.js by building Udemy: Stripe + MailChimp + Wistia,110,36,0.03,5.5
Learn jQuery: An In-depth Course For Beginners,50,95,0.01,4.5
JavaScript for Beginning Web Developers,75,416,0.05,4.5
JQuery Create Overlay Popups from scratch using Jquery,50,17,0.0,2.5
Vue JS 2: From Beginner to Professional,145,93,0.15,15.5
Ultimate AngularJS: Build a Real-World App from Scratch,100,438,0.26,5.5
Wordpress Site Migration,20,40,0.02,1.5
introduction to HTML Course,20,32,0.01,2.0
Create Single Page Website using Twitter Bootstrap 3,20,111,0.01,1.0
The All-In-One Web Development Course,85,13,0.02,18.5
Code a Responsive Website Using HTML5 and CSS for Beginners,50,136,0.11,7.5
AngularJS for the Real World - Learn by creating a WebApp,115,137,0.1,7.0
Wordpress Tutorial   ,200,8,0.0,1.5
Create a REAL Social Network like Facebook in PHP + MySQL,45,178,0.18,16.5
Advanced Node.js Development,55,32,0.01,3.0
ASP.NET MVC 5 Project - Facebook Clone,30,19,0.09,5.0
Bootstrap For Beginners: A  Basic Introduction,55,14,0.01,40.0
jQuery for Beginners,20,17,0.01,4.0
JavaScript Basics For Web Developers,20,14,0.01,1.0
Learn PHP from Scratch,50,25,0.02,1.5
Learn Express,25,60,0.05,1.5
"Build A Web App with VueJS, Spring Framework and MongoDB",145,32,0.13,3.5
Zend Framework 2: Learn the PHP framework ZF2 from scratch,40,130,0.18,6.5
Improved SEO with Rich Snippets and MicroData,Free,228,0.02,1.0
X theme for WordPress: Responsive web design without code!,20,81,0.06,7.0
Become a HTML and CSS Developer - Build a Responsive Site,Free,91,0.02,2.0
How to Make a Wordpress Website 2017,Free,235,0.02,3.0
Install Wordpress,20,35,0.02,40.0
CSS Specialist: Comprehensive CSS Training,100,31,0.06,6.0
Introduction to Laravel 4,Free,411,0.05,2.5
Introduction to Elm,Free,28,0.02,1.0
Learn to Freelance with People Per hour  (URDU),20,48,0.05,36.0
Learn Wordpress 4 from Scratch : Create Awesome Websites,75,8,0.0,2.0
Amazon Alexa Development: From Beginner to Intermediate,140,110,0.06,2.5
The Build a SAAS App with Flask Course,40,365,0.16,10.0
Learn JSON with JavaScript Objects and APIs in 1 hour,95,93,0.03,1.0
1 Hour JavaScript,200,602,0.03,1.0
Building An E-Commerce Store Using Java Spring Framework,95,589,0.21,14.5
Typescript Masterclass & FREE E-Book,150,139,0.11,7.5
PHP MVC Framework CodeIgniter Tutorial for Beginners Project,100,508,0.14,10.5
JavaScript - Become Higly Paid Front End Developer,105,137,0.19,3.5
Object Oriented Programming (OOP) in PHP - Build An OOP Site,20,721,0.11,2.0
Beginners Introduction to Web Development,200,55,0.01,1.5
Django + AngularJS for a Powerful Web Application,95,59,0.01,5.5
WordPress Academy: Learn WordPress step by step,150,360,0.19,7.5
Web Development Essential Skills - Complete HTML and CSS,95,11,0.01,7.0
Byte-Sized-Chunks: Closures in Javascript,20,2,0.0,2.0
Laravel Account Activation Project,50,19,0.02,2.5
WordPress: Create an Amazing Website With Ease,200,13,0.01,2.5
Mastering the Google Chrome Developer Tools,20,41,0.02,40.0
Kali Linux Web App Testing,75,48,0.05,3.0
Learn Ruby Programming The Easy Way - Lite,20,12,0.01,34.0
"Web Scraping with Python, Ruby & import. io",75,50,0.05,4.5
Sending email with PHP: from Basic to Advanced,40,58,0.15,2.0
WordPress 2016 for Beginners : Build awesome websites!,20,13,0.01,4.0
Learn to make websites with Google's Material Design Lite,20,72,0.07,5.5
Joomla 3 : Develop a Professional Website in 3 Simple Steps!,35,74,0.06,5.0
Complete Python Web Course: Build 8 Python Web Apps,110,941,0.13,16.0
Web Design for Beginners: Real World Coding in HTML & CSS,100,1724,0.19,9.0
Ethereum Developer: Build A Decentralised Blockchain App,195,527,0.17,3.5
The Complete Web Development Course -  Build 15 Projects,200,1213,0.16,76.5
Angular 2 + Rails 5 Bootcamp,150,372,0.19,9.0
Javascript - From Beginner to Pro-Build real world JS apps,195,688,0.02,11.5
Redux in Angular (2 and 4+),70,16,0.02,1.5
The complete JavaScript developer: MEAN stack zero-to-hero,75,983,0.2,11.5
Running a Web Development Business: The Complete Guide,150,525,0.02,19.5
Projects In JavaScript & JQuery,60,620,0.07,9.0
Learn To Build Beautiful HTML5 And CSS3 Websites In 1 Month,50,407,0.02,11.0
"Full stack Universal React with Redux, Node js and MongoDB",195,174,0.16,5.0
Creating an MP3 Player with HTML5,20,169,0.01,1.5
Be a Bootstrap Developer from scratch,100,185,0.03,3.5
Create Your First Wordpress Site in Under an Hour,20,128,0.03,1.0
Learn Coding as RF or Telecom Engineer - Build Real Program,25,4,0.0,2.0
Creating FaceBook Design Using Bootstrap - Handson Project,80,20,0.0,2.0
Building HTML5 Canvas projects from scratch,100,35,0.0,2.0
Learn How To Become a Web Developer From Scratch,200,72,0.01,11.0
"Earn Big Profits With Web Development, Simple and Easy!",90,27,0.01,1.5
BDD with Ruby on Rails using RSpec 3 and Capybara,175,179,0.07,13.0
Learn By Example: jQuery,50,49,0.03,7.0
Professional Python Web Development Using Flask,120,489,0.14,14.5
JavaScript HTML CSS Project make a Quiz Tutorial,95,39,0.01,2.0
Voiceover Audio Secrets - Your Way to Top Audio Quality,195,8,0.01,2.5
jQuery UI In Depth,25,21,0.01,10.5
Codeless Website Development with Adobe Muse,50,67,0.15,3.5
Learn To Build A Google Map App Using Angular 2,30,12,0.1,1.0
Learn Reactivex From Ground Up,40,32,0.15,5.0
Learn HTML in 59 Minutes - Your intro to front-end dev,35,15,0.05,1.0
WordPress Theme Customization 101 (for beginners),40,40,0.13,2.0
Supercharging Development With Atom Text Editor,20,42,0.07,1.5
Master WCF 4.0 From Scratch Using C#,50,67,0.16,7.0
Drupal 7 for Beginners,35,102,0.11,2.5
Critical Web Dev Skills & Tools for the Non-Tech Hustler,Free,8,0.0,1.5
Install WordPress on Computer using XAMPP,Free,150,0.03,37.0
Java Web Services Part 2,20,51,0.05,3.0
Complete PHP Course With Bootstrap3 CMS System & Admin Panel,195,1225,0.02,20.0
Learn To Create WordPress Themes By Building 10 Projects,60,384,0.17,16.5
The Complete NodeJS Course: Build a Full Business Rating App,195,260,0.01,12.5
Master the MEAN Stack - Learn By Example,195,382,0.01,4.5
First Web Application with Spring Boot,40,95,0.03,4.0
HTML5 and CSS3: Learn Web Design with HTML + CSS + Bootstrap,200,28,0.08,8.5
Backbone Tutorial: Learn Backbonejs from Scratch,90,634,0.13,5.5
AngularJS Custom Directives with Dan Wahlin,75,434,0.11,6.0
Angular 2+ with Typescript - Essential Training,195,780,0.03,3.0
Learn Angular 2 from Beginner to Advanced,195,526,0.02,10.0
Create an eCommerce Wordpress Website 2016 - New Divi Theme!,30,123,0.04,4.0
HTML5 and CSS3 : Landing Pages for Entrepreneurs 2016,195,16,0.01,4.0
Learning Docker and Kubernetes by Lab,30,54,0.09,5.0
Projects in ExpressJS - Learn ExpressJs building 10 projects,50,149,0.08,15.5
PHP For Beginners : Learn PHP From Scratch!,100,17,0.01,3.5
Bootstrap 4.0 New Features: Build Responsive Website,40,28,0.01,1.5
ASP.NET MVC 5 Project - CMS and Shopping Cart with Paypal,30,97,0.18,9.0
Professional RESTful API Design using Python Flask,120,25,0.04,4.5
HTML5 APIs For JavaScript - A Course For Web Developers ,50,62,0.01,5.0
Learn Python Django - A Hands-On Course,50,21,0.02,2.0
Comprehensive JavaScript Programming,20,84,0.01,3.0
Security for your WordPress site,85,8,0.01,38.0
Try Django 1.9 | Build a Blog and Learn Python's #1 Library,50,172,0.02,20.0
Accelerated ES6 JavaScript Training,110,850,0.15,6.0
AWS Serverless APIs & Apps - A Complete Introduction,145,166,0.08,8.0
Python and Django Full Stack Web Developer Bootcamp,200,1883,0.16,31.5
The Complete Elixir and Phoenix Bootcamp,50,1375,0.26,14.5
Build a Real-world App with ASP.NET Core and Angular 2 (4+),190,828,0.16,10.5
REST APIs with Flask and Python,110,737,0.14,12.5
Angular 4 (formerly Angular 2) - The Complete Guide,190,19649,0.27,22.0
Build Websites from Scratch with HTML & CSS,145,1955,0.04,8.0
PHP for Beginners -Become a PHP Master - Project Included,200,4316,0.15,30.5
The Professional Ruby on Rails Developer,100,676,0.04,17.0
The Complete Ruby on Rails Developer Course,195,3809,0.11,31.5
Docker Technologies for DevOps and Developers,30,3137,0.16,3.0
JavaScript programming: JavaScript for beginners,55,223,0.1,5.0
JSON in Action: Build JSON-Based Applications,50,171,0.13,3.5
Learn Ruby Programming The Easy Way,35,22,0.01,2.0
Learn OAuth 2.0 - Get started as an API Security Expert,95,283,0.13,3.5
AngularJS For .Net Developers From Scratch,50,303,0.12,4.5
"Jekyll: make fast, secure static sites and blogs with Jekyll",45,86,0.04,2.5
HTML and CSS BootCamp for Beginners,30,35,0.02,6.5
Hosting Django: Amazon Web Services (AWS) Fundamentals,45,103,0.04,5.5
Angular Advanced MasterClass & FREE E-Book,150,9,0.04,6.5
Learn Responsive Web Development from Scratch,Free,2692,0.05,4.5
Build WordPress Plugin to extend Beaver Builder,50,26,0.02,2.0
Coding Made Easy: A Beginners Guide To JavaScript,40,33,0.02,1.0
The Complete Developers Guide to MongoDB,150,1286,0.12,13.5
Electron for Desktop Apps: The Complete Developer's Guide,50,241,0.09,8.0
Vue JS 2 - The Complete Guide (incl. Vue Router & Vuex),190,4675,0.26,18.0
"React JS, Angular & Vue JS - Quickstart & Comparison",160,288,0.13,8.0
The Complete JavaScript Course: Build a Real-World Project,195,4340,0.16,17.5
Angular (Angular 2 or 4) & NodeJS - The MEAN Stack Guide,150,3166,0.18,8.5
Angular 2 with TypeScript for Beginners: The Pragmatic Guide,150,8341,0.21,9.5
Meteor and React for Realtime Apps,140,1384,0.21,9.0
The Web Developer Bootcamp,200,27445,0.23,43.0
AngularJS JumpStart with Dan Wahlin,75,2144,0.12,10.0
The Complete Web Developer Course 2.0,200,22412,0.2,30.5
Ultimate Web Designer & Developer Course: Build 23 Projects!,200,4434,0.13,32.5
ExpressJS Fundamentals,Free,914,0.04,1.0
REST WCF Service in ASP.NET,Free,561,0.07,41.0
Projects in Node.js - Learn by Example,195,99,0.11,5.0
Building Data Visualizations with D3 and Angular 2,125,30,0.1,3.5
Learn Object Oriented PHP By Building a Complete Website,Free,2618,0.07,4.5
Web Programming Course : Asp.Net MVC,100,76,0.03,3.5
Learn Spring Framework Practically - Hands On Recipies,145,50,0.1,5.5
One-stop Ruby on Rails: Build Web Applications from Scratch,145,162,0.1,18.5
Learn what's new in PHP 7,Free,271,0.02,3.5
Dive Into Docker: The Docker Course for Developers,Free,313,0.05,1.5
"Basic Concepts of Web Development, HTTP and Java Servlets",35,59,0.02,1.0
The Most Comprehensive Web Development Course,200,22,0.07,42.0
Learn and Understand AngularJS,175,11580,0.2,7.0
JavaScript: Understanding the Weird Parts,175,16976,0.21,11.5
Webpack 2: The Complete Developer's Guide,75,1893,0.21,5.5
Build Responsive Real World Websites with HTML5 and CSS3,195,7106,0.16,12.0
ES6 Javascript: The Complete Developer's Guide,80,2709,0.21,6.5
Learn and Understand NodeJS,195,11123,0.19,13.0
Understanding TypeScript,110,1560,0.17,7.0
Advanced React and Redux,140,3326,0.15,12.0
Modern React with Redux,180,15117,0.3,26.5
Angular Styling & Animations (for Angular 2 and Angular 4),120,307,0.07,6.0
The Complete ASP.NET MVC 5 Course,190,6357,0.31,7.5
GraphQL with React: The Complete Developers Guide,150,987,0.15,13.0
"Create a Simple Photo Gallery with Dropzonejs, Slick and PHP",Free,17,0.01,44.0
WordPress in under an hour - Create/manage your own website!,Free,86,0.01,1.0
Twitter Bootstrap 2 for Beginners,20,139,0.06,1.0
Bootstrap Tutorial - Essentials From Basic to Advanced,195,23,0.02,7.5
Create an Engaging Website with Twitter Bootstrap 2.x,20,56,0.04,1.0
Javascript :basics for beginners,30,22,0.02,37.0
CSS Tutorial For Beginners: Style Your Wordpress Templates,35,22,0.02,3.5
HTML5 And CSS3 - Build Modern Responsive Websites,175,17,0.16,9.5
PSD to HTML5/CSS3 using Twitter Bootstrap 3! ,95,24,0.01,2.0
Web Development: Make A Website That Will Sell For Thousands,50,62,0.06,7.5
WordPress Basics to Business: Share and Sell your Expertise,50,10,0.01,3.5
PHP Zend Framework 2:Creating a CRUD Application,40,6,0.01,38.0
JavaScript Fundamentals,Free,71,0.02,5.0
Building a Website With Jekyll,20,19,0.03,3.0
Big Data and Apache Hadoop for Developers - Fundamentals,30,89,0.08,3.0
